Time,Pitch,Roll,Yaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,alt,xSpeed,ySpeed,zSpeed,cP,cR,cY,cP
177033013,-2.50,5.19,-0.44,0.12,0.06,0.81,-0.33,-0.35,-0.13,0.00,0.00,0.55,-10000.00,-10000.00,-10000.00,0.00,-0.00,0.00,0.00
177043016,-2.50,5.19,-0.44,0.25,-0.31,0.19,-1.13,0.13,-0.15,0.00,0.00,0.57,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,-0.40
177053020,-2.50,5.19,-0.44,-0.06,-0.44,0.00,-1.57,-0.02,-0.14,0.00,0.00,0.57,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,-0.40
177063022,-2.50,5.19,-0.44,-0.12,-0.31,-0.31,0.16,0.01,-0.22,0.00,0.00,0.56,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,-0.20
177073027,-2.50,5.19,-0.44,-0.06,-0.19,-0.12,1.01,0.14,-0.13,0.00,0.00,0.58,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,-0.60
177083029,-2.50,5.19,-0.44,0.00,0.12,0.25,0.56,-0.09,-0.11,0.00,0.00,0.57,-10000.00,-10000.00,-10000.00,0.00,-0.00,0.00,-0.40
177093676,-2.50,5.19,-0.44,0.12,0.31,-0.06,-0.20,0.15,-0.14,0.00,0.00,0.58,-10000.00,-10000.00,-10000.00,0.00,-0.00,0.00,-0.60
177104062,-2.50,5.19,-0.44,0.00,0.25,-0.31,-0.74,-0.00,-0.20,0.00,0.00,0.58,-10000.00,-10000.00,-10000.00,0.00,-0.00,0.00,-0.60
177118140,-2.50,5.19,-0.44,0.19,0.06,-0.50,0.46,-0.04,-0.13,0.00,0.00,0.52,-10000.00,-10000.00,-10000.00,0.00,-0.00,0.00,0.600
177128447,-2.50,5.19,-0.44,0.12,0.06,0.12,0.32,0.31,-0.16,0.00,0.00,0.53,-10000.00,-10000.00,-10000.00,0.00,-0.00,0.00,0.4000
177142752,-2.50,5.19,-0.44,-0.19,-0.38,0.19,0.19,-0.38,-0.03,0.00,0.00,0.54,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,0.200
177152755,-2.50,5.19,-0.44,-0.12,-0.12,-0.19,0.06,0.57,-0.29,0.00,0.00,0.52,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,0.600
177166019,-2.50,5.19,-0.44,-0.06,-0.06,-0.31,-1.18,0.22,-0.08,0.00,0.00,0.51,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,0.80
177179312,-2.50,5.19,-0.44,0.06,0.31,0.06,0.25,0.12,-0.16,0.00,0.00,0.51,-10000.00,-10000.00,-10000.00,0.00,-0.00,0.00,0.8080
177193933,-2.50,5.19,-0.44,0.12,0.06,0.31,-0.17,0.15,-0.23,0.00,0.00,0.52,-10000.00,-10000.00,-10000.00,0.00,-0.00,0.00,0.600
177208705,-2.50,5.19,-0.44,-0.06,-0.12,0.06,0.06,0.26,-0.17,0.00,0.00,0.56,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,-0.20
177224134,-2.50,5.19,-0.44,-0.06,-0.56,-0.38,-0.17,-0.02,-0.23,0.00,0.00,0.51,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,0.80
177239026,-2.50,5.19,-0.44,0.19,-0.50,0.00,-0.41,0.30,-0.10,0.00,0.00,0.54,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,0.2080
177253904,-2.50,5.19,-0.44,0.00,-0.06,-0.06,-0.62,0.06,-0.16,0.00,0.00,0.53,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,0.400
177267473,-2.50,5.19,-0.44,0.06,0.25,0.06,0.24,0.29,-0.10,0.00,0.00,0.49,-10000.00,-10000.00,-10000.00,0.00,-0.00,0.00,1.2000
177281362,-2.50,5.19,-0.44,-0.19,-0.19,0.19,0.17,-0.18,-0.11,0.00,0.00,0.53,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,0.400
177293967,-2.50,5.19,-0.44,0.06,-0.12,0.06,0.46,-0.20,-0.17,0.00,0.00,0.54,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,0.200
177303971,-2.50,5.19,-0.44,0.12,-0.19,-0.31,-0.56,0.07,-0.05,0.00,0.00,0.53,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,0.400
177313974,-2.50,5.19,-0.44,0.06,-0.44,-0.19,0.33,-0.33,-0.04,0.00,0.00,0.51,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,0.800
177323978,-2.50,5.19,-0.44,0.25,-0.19,0.25,-0.88,-0.37,-0.10,0.00,0.00,0.51,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,0.800
177337898,-2.50,5.19,-0.44,0.00,-0.44,0.00,0.30,-0.22,-0.08,0.00,0.00,0.52,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,0.600
177353250,-2.50,5.19,-0.44,0.06,0.50,-0.19,0.89,-0.22,-0.30,0.00,0.00,0.51,-10000.00,-10000.00,-10000.00,0.00,-0.00,0.00,0.800
177363254,-2.50,5.19,-0.44,0.06,0.25,-0.19,1.00,-0.06,-0.34,0.00,0.00,0.53,-10000.00,-10000.00,-10000.00,0.00,-0.00,0.00,0.400
177373257,-2.50,5.19,-0.44,0.06,-0.00,0.19,0.95,-0.38,-0.30,0.00,0.00,0.51,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,0.800
177384430,-2.50,5.19,-0.44,0.12,-0.00,0.12,-0.04,-0.83,0.00,0.00,0.00,0.51,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,0.800
177394433,-2.50,5.19,-0.44,0.12,-0.31,0.06,0.02,-0.68,0.14,0.00,0.00,0.51,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,0.800
177406022,-2.50,5.19,-0.44,0.00,-0.50,0.19,-1.14,-0.33,0.18,0.00,0.00,0.51,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,0.800
177417888,-2.50,5.19,-0.44,-0.19,-0.50,0.25,-1.24,0.48,-0.17,0.00,0.00,0.53,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,0.400
177428687,-2.50,5.19,-0.44,0.00,-0.19,0.19,1.26,-0.55,0.01,0.00,0.00,0.51,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,0.8000
177439845,-2.50,5.19,-0.44,-0.12,-0.19,0.38,-0.61,-0.69,0.33,0.00,0.00,0.49,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,1.200
177451304,-2.50,5.19,-0.44,-0.19,0.19,0.75,-0.92,0.73,-0.32,0.00,0.00,0.50,-10000.00,-10000.00,-10000.00,0.00,-0.00,0.00,1.000
177461314,-2.50,5.19,-0.44,-0.06,-0.25,0.62,1.39,-0.69,0.13,0.00,0.00,0.51,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,0.800
177472616,-2.50,5.19,-0.44,-0.06,-0.25,0.25,-1.98,0.69,0.43,0.00,0.00,0.52,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,0.600
177482620,-2.50,5.19,-0.44,-0.06,-0.44,0.50,1.00,0.20,-1.10,0.00,0.00,0.56,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,-0.200
177492631,-2.50,5.19,-0.44,0.00,-0.44,0.19,0.98,-0.77,0.18,0.00,0.00,0.51,-10000.00,-10000.00,-10000.00,0.00,0.00,0.00,0.8000
