Time,Pitch,Roll,Yaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,alt,xSpeed,ySpeed,zSpeed,cP,cR,cY,cP
85754499,-3.06,4.62,0.00,-0.19,0.44,0.75,0.04,-0.12,-0.15,2.50,5.60,0.51,-10000.00,-10000.00,0.00,0.61,0.00,0.00,1.40
85764686,-3.06,4.62,0.00,-0.06,0.56,1.62,0.59,0.22,-0.20,2.50,5.60,0.51,-10000.00,-10000.00,0.00,0.61,0.00,0.00,1.40
85774690,-3.06,4.62,0.06,-0.06,0.50,0.88,-1.17,0.31,-0.10,2.50,5.60,0.52,-10000.00,-10000.00,0.05,0.61,0.00,0.00,1.05
85785009,-3.06,4.62,0.06,0.19,0.00,-1.00,1.24,0.15,-0.09,2.50,5.60,0.51,-10000.00,-10000.00,0.00,0.61,0.00,0.00,1.40
85795012,-3.06,4.62,0.06,0.25,-0.19,-1.56,-0.28,0.06,-0.17,2.50,5.60,0.51,-10000.00,-10000.00,0.00,0.61,0.00,0.00,1.40
85805777,-3.06,4.62,0.00,-0.12,-0.44,-0.62,-0.24,0.10,-0.16,2.50,5.60,0.49,-10000.00,-10000.00,-0.09,0.61,0.00,0.00,2.10
85815782,-3.06,4.62,0.00,-0.06,-0.62,1.06,-0.35,0.10,-0.25,2.50,5.60,0.53,-10000.00,-10000.00,0.11,0.61,0.00,0.00,0.70
85825785,-3.06,4.62,0.06,-0.06,-0.50,1.69,0.31,0.29,-0.21,2.50,5.60,0.50,-10000.00,-10000.00,-0.04,0.61,0.00,0.00,1.75
85835788,-3.06,4.62,0.06,-0.19,-0.12,0.38,0.31,0.01,-0.19,2.50,5.60,0.49,-10000.00,-10000.00,-0.09,0.61,0.00,0.00,2.10
85845792,-3.06,4.62,0.00,0.00,0.12,-1.06,-0.01,0.24,-0.14,2.50,5.60,0.49,-10000.00,-10000.00,-0.09,0.61,0.00,0.00,2.10
85855796,-3.06,4.62,0.00,0.00,0.12,-1.44,0.83,-0.18,-0.08,2.50,5.60,0.49,-10000.00,-10000.00,-0.09,0.61,0.00,0.00,2.10
85865799,-3.06,4.62,0.00,0.19,0.50,-0.69,0.92,-0.05,-0.08,2.50,5.60,0.49,-10000.00,-10000.00,-0.09,0.61,0.00,0.00,2.10
85875803,-3.06,4.62,0.00,0.00,0.69,1.00,0.47,-0.42,-0.06,2.50,5.60,0.50,-10000.00,-10000.00,-0.09,0.61,0.00,0.00,1.75
85885806,-3.06,4.62,0.00,0.00,0.06,1.06,1.19,0.29,-0.07,2.50,5.60,0.49,-10000.00,-10000.00,-0.09,0.61,0.00,0.00,2.10
85895809,-3.06,4.62,0.00,-0.12,-0.69,0.19,-0.32,-0.20,-0.03,2.50,5.60,0.50,-10000.00,-10000.00,-0.04,0.61,0.00,0.00,1.75
85907832,-3.06,4.62,0.00,-0.12,-0.75,-0.88,-0.11,0.03,-0.10,2.50,5.60,0.49,-10000.00,-10000.00,0.01,0.61,0.00,0.00,2.10
85917835,-3.06,4.62,0.00,0.19,-0.56,-1.12,0.55,0.48,-0.29,2.50,5.60,0.50,-10000.00,-10000.00,-0.14,0.61,0.00,0.00,1.75
85930877,-3.06,4.62,0.00,0.12,-0.25,-0.38,-0.13,-0.40,-0.18,2.50,5.60,0.49,-10000.00,-10000.00,-0.03,0.61,0.00,0.00,2.10
85942901,-3.06,4.62,0.00,0.19,0.19,0.38,0.16,-0.28,0.06,2.50,5.60,0.47,-10000.00,-10000.00,-0.06,0.61,0.00,0.00,2.80
85954803,-3.06,4.62,0.00,-0.38,0.06,0.06,0.42,-0.54,-0.25,2.50,5.60,0.49,-10000.00,-10000.00,0.03,0.61,0.00,0.00,2.10
85965052,-3.06,4.62,0.00,-0.19,-0.31,-0.31,-0.56,0.80,-0.34,2.50,5.60,0.50,-10000.00,-10000.00,0.07,0.61,0.00,0.00,1.75
85978398,-3.06,4.62,0.00,-0.12,-0.31,-0.38,-0.26,-0.12,-0.17,2.50,5.60,0.49,-10000.00,-10000.00,0.04,0.61,0.00,0.00,2.10
85988975,-3.06,4.62,0.00,0.25,0.25,-0.19,-0.12,0.23,-0.33,2.50,5.60,0.49,-10000.00,-10000.00,-0.01,0.61,0.00,0.00,2.10
86001127,-3.06,4.62,0.00,0.12,0.00,0.12,0.21,0.03,-0.21,2.50,5.60,0.48,-10000.00,-10000.00,-0.01,0.61,0.00,0.00,2.45
86013218,-3.06,4.62,0.00,0.06,0.00,-0.31,-0.52,-0.02,-0.24,2.50,5.60,0.51,-10000.00,-10000.00,0.07,0.61,0.00,0.00,1.40
86024204,-3.06,4.62,0.00,-0.12,-0.19,0.06,0.41,-0.17,-0.12,2.50,5.60,0.50,-10000.00,-10000.00,0.07,0.61,0.00,0.00,1.75
86034332,-3.06,4.62,0.00,-0.06,-0.50,0.06,-0.54,0.12,-0.29,2.50,5.60,0.49,-10000.00,-10000.00,-0.03,0.61,0.00,0.00,2.10
86044578,-3.06,4.62,0.00,0.12,-0.12,0.06,-0.15,0.10,-0.13,2.50,5.60,0.48,-10000.00,-10000.00,-0.04,0.61,0.00,0.00,2.45
86054710,-3.06,4.62,0.00,0.00,0.12,-0.06,-0.31,0.13,-0.12,2.50,5.60,0.48,-10000.00,-10000.00,0.04,0.61,0.00,0.00,2.45
86065501,-3.06,4.62,0.00,0.00,0.56,-0.50,0.14,0.10,-0.07,2.50,5.60,0.48,-10000.00,-10000.00,-0.04,0.61,0.00,0.00,2.45
86075505,-3.06,4.62,0.00,0.06,0.06,0.00,0.36,-0.11,-0.13,2.50,5.60,0.48,-10000.00,-10000.00,-0.09,0.61,0.00,0.00,2.45
86087427,-3.06,4.62,0.00,-0.12,0.12,0.12,0.46,-0.35,-0.23,2.50,5.60,0.49,-10000.00,-10000.00,-0.01,0.61,0.00,0.00,2.10
86097430,-3.06,4.62,0.00,-0.31,-0.56,0.00,0.09,-0.30,-0.08,2.50,5.60,0.47,-10000.00,-10000.00,-0.11,0.61,0.00,0.00,2.80
86109287,-3.06,4.62,0.00,-0.25,-0.50,0.06,-0.12,0.37,-0.19,2.50,5.60,0.48,-10000.00,-10000.00,-0.03,0.61,0.00,0.00,2.45
86119291,-3.06,4.62,0.00,0.00,-0.56,-0.25,0.46,0.23,-0.06,2.50,5.60,0.49,-10000.00,-10000.00,-0.10,0.61,0.00,0.00,2.10
86133190,-3.06,4.62,0.00,0.50,-0.38,0.44,-0.67,0.72,-0.01,2.50,5.60,0.49,-10000.00,-10000.00,-0.06,0.61,0.00,0.00,2.10
86144217,-3.06,4.62,0.00,0.44,-0.50,0.56,-0.48,0.68,0.15,2.50,5.60,0.47,-10000.00,-10000.00,-0.10,0.61,0.00,0.00,2.80
86154806,-3.06,4.62,0.00,0.62,-0.12,0.69,-0.48,0.44,0.18,2.50,5.60,0.49,-10000.00,-10000.00,0.05,0.61,0.00,0.00,2.10
86165146,-3.06,4.62,0.00,0.38,-0.25,-0.12,-0.66,0.85,-0.04,2.50,5.60,0.50,-10000.00,-10000.00,0.10,0.61,0.00,0.00,1.75
86175149,-3.06,4.62,0.00,0.50,-0.69,-0.31,-0.53,0.20,-0.07,2.50,5.60,0.50,-10000.00,-10000.00,0.10,0.61,0.00,0.00,1.75
86185266,-3.06,4.62,0.00,0.56,-0.38,-0.81,-0.90,0.38,-0.05,2.50,5.60,0.49,-10000.00,-10000.00,0.05,0.61,0.00,0.00,2.10
86195268,-3.06,4.62,0.00,1.00,-0.81,-0.12,-0.86,0.41,-0.02,2.50,5.60,0.48,-10000.00,-10000.00,-0.04,0.61,0.00,0.00,2.45
86205272,-3.06,4.62,0.00,0.94,-0.38,0.25,-1.27,0.14,0.02,2.50,5.60,0.48,-10000.00,-10000.00,0.06,0.61,0.00,0.00,2.45
86215565,-3.06,4.62,0.00,0.81,-0.19,0.75,-1.28,0.77,0.01,2.50,5.60,0.47,-10000.00,-10000.00,-0.03,0.61,0.00,0.00,2.80
86225570,-3.06,4.56,0.00,0.69,-0.06,0.62,0.93,0.47,-0.16,2.50,5.60,0.50,-10000.00,-10000.00,0.07,0.61,0.00,0.00,1.75
86235573,-3.06,4.56,0.00,0.62,0.12,1.00,0.94,0.06,-0.46,2.50,5.60,0.49,-10000.00,-10000.00,0.02,0.61,0.00,0.00,2.10
86245577,-3.06,4.56,0.06,0.62,0.19,1.06,-0.36,-0.92,-0.27,2.50,5.60,0.51,-10000.00,-10000.00,0.21,0.61,0.00,0.00,1.40
