Time,sensPitch,sensRoll,sensYaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,altitude
6040,-86.50,-179.00,1.81,-4.44,6.31,-0.75,0.14,0.06,-0.05,0.00,0.00,0.14
6048,-86.44,-179.00,1.75,-4.50,6.38,-0.62,0.09,0.04,-0.07,0.00,0.00,0.07
6058,-86.44,-179.00,1.75,-4.50,6.38,-0.62,0.04,0.06,-0.04,0.00,0.00,0.09
6067,-86.38,-179.00,1.69,-4.38,6.25,-0.75,-0.05,0.03,-0.04,0.00,0.00,0.12
6080,-86.31,-179.00,1.69,-4.38,6.25,-0.88,-0.10,0.04,-0.03,0.00,0.00,0.13
6088,-86.19,-179.06,1.56,-4.50,5.88,-1.00,-0.15,0.06,-0.04,0.00,0.00,0.10
6098,-86.19,-179.06,1.56,-4.50,5.88,-1.00,-0.18,0.07,-0.05,0.00,0.00,0.07
6106,-86.19,-179.06,1.56,-4.38,5.56,-0.94,-0.25,0.06,-0.04,0.00,0.00,0.07
6120,-86.12,-179.06,1.50,-4.25,4.94,-0.75,-0.29,0.04,-0.03,0.00,0.00,0.12
6129,-86.06,-179.06,1.44,-4.31,3.88,-0.88,-0.31,0.05,-0.06,0.00,0.00,0.09
6142,-86.06,-179.06,1.44,-4.44,3.06,-0.75,-0.34,0.03,-0.05,0.00,0.00,0.12
6150,-86.00,-179.06,1.38,-4.31,2.62,-0.69,-0.35,0.05,-0.05,0.00,0.00,0.09
6160,-86.00,-179.06,1.38,-4.44,1.88,-0.75,-0.38,0.05,-0.03,0.00,0.00,0.14
6913,-86.88,-179.00,-0.12,1.06,-3.12,0.06,0.58,-0.07,-0.01,0.00,0.00,6.23
6924,-86.88,-179.00,-0.12,0.94,-2.62,0.38,0.59,-0.08,-0.04,0.00,0.00,6.26
6934,-86.88,-179.00,-0.12,1.12,-1.62,0.19,0.60,-0.06,-0.03,0.00,0.00,6.21
6946,-86.94,-179.00,-0.06,1.50,-0.25,0.25,0.59,-0.07,-0.04,0.00,0.00,6.28
6955,-86.94,-179.00,-0.06,1.62,0.25,0.00,0.60,-0.08,0.00,0.00,0.00,0.05
6964,-86.94,-179.00,-0.06,1.62,0.25,0.00,0.58,-0.05,-0.03,0.00,0.00,0.05
6974,-86.88,-179.00,-0.06,1.62,1.06,0.06,0.55,-0.06,-0.04,0.00,0.00,0.04
6985,-86.88,-179.00,0.00,1.94,1.75,0.06,0.51,-0.03,-0.03,0.00,0.00,0.08
6995,-86.88,-179.00,0.00,2.06,2.88,-0.06,0.48,-0.06,-0.04,0.00,0.00,0.05
7005,-86.81,-179.00,0.00,2.06,2.88,-0.06,0.47,-0.04,-0.04,0.00,0.00,0.04
7014,-86.81,-179.06,0.06,2.19,3.50,-0.12,0.47,-0.04,-0.04,0.00,0.00,0.05
7025,-86.75,-179.06,0.06,2.44,4.19,0.06,0.34,-0.04,-0.05,0.00,0.00,0.05
7035,-86.75,-179.06,0.12,2.69,4.75,0.00,0.29,-0.02,-0.05,0.00,0.00,0.05
7049,-86.69,-179.06,0.12,2.69,5.19,-0.12,0.22,-0.03,-0.07,0.00,0.00,0.13
7084,-86.50,-179.06,0.25,3.00,5.38,-0.12,0.07,-0.01,-0.08,0.00,0.00,0.10
7096,-86.44,-179.06,0.25,2.88,5.44,-0.12,-0.03,-0.01,-0.07,0.00,0.00,0.12
7104,-86.38,-179.06,0.31,3.06,5.31,-0.12,-0.03,-0.01,-0.07,0.00,0.00,0.17
7112,-86.31,-179.06,0.31,3.06,5.19,0.00,-0.10,0.00,-0.05,0.00,0.00,0.10
7121,-86.25,-179.06,0.38,3.12,4.94,-0.12,-0.12,0.00,-0.06,0.00,0.00,0.04
7131,-86.25,-179.06,0.38,3.12,4.62,0.12,-0.19,0.00,-0.08,0.00,0.00,0.05
7142,-86.19,-179.06,0.44,3.19,4.12,0.06,-0.22,0.00,-0.08,0.00,0.00,0.04
7151,-86.19,-179.06,0.44,3.50,3.69,0.00,-0.21,0.00,-0.09,0.00,0.00,0.08
7159,-86.12,-179.06,0.50,3.31,3.12,0.19,-0.26,0.00,-0.04,0.00,0.00,0.13
7167,-86.12,-179.06,0.50,3.19,2.56,0.19,-0.31,0.02,-0.07,0.00,0.00,0.08
7177,-86.12,-179.06,0.50,3.25,1.75,0.12,-0.31,0.03,-0.05,0.00,0.00,0.05
7186,-86.06,-179.06,0.56,3.31,1.06,0.31,-0.33,0.03,-0.06,0.00,0.00,0.10
7196,-86.06,-179.06,0.56,3.31,1.06,0.31,-0.32,0.02,-0.06,0.00,0.00,0.10
7205,-86.06,-179.06,0.62,3.31,0.38,0.38,-0.32,0.02,-0.06,0.00,0.00,0.13
