Time,sensPitch,sensRoll,sensYaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,altitude
6010,-3.69,2.06,0.69,0.19,2.62,-6.25,-0.06,-0.03,-0.23,0.00,0.00,0.60
6021,-3.75,2.06,0.75,0.25,2.62,-6.06,-0.04,-0.03,-0.23,0.00,0.00,0.59
6031,-3.75,2.06,0.81,0.12,2.44,-5.94,-0.05,0.00,-0.23,0.00,0.00,0.58
6039,-3.75,2.06,0.88,0.19,2.12,-5.81,-0.04,0.00,-0.20,0.00,0.00,0.59
6046,-3.81,2.06,0.94,0.12,2.12,-5.75,-0.06,0.00,-0.21,0.00,0.00,0.60
6054,-3.81,2.06,1.00,0.06,1.88,-5.62,-0.03,0.01,-0.19,0.00,0.00,0.59
6065,-3.81,2.06,1.00,0.25,1.94,-5.50,-0.03,0.02,-0.22,0.00,0.00,0.60
6073,-3.81,2.12,1.06,0.19,1.69,-5.44,-0.03,0.02,-0.21,0.00,0.00,0.58
6086,-3.81,2.12,1.06,0.19,1.69,-5.44,-0.02,0.00,-0.22,0.00,0.00,0.60
6094,-3.88,2.12,1.19,0.12,1.44,-5.19,0.00,0.00,-0.21,0.00,0.00,0.60
6106,-3.88,2.12,1.19,0.12,1.44,-5.19,0.00,0.00,-0.21,0.00,0.00,0.59
6113,-3.88,2.12,1.31,0.06,1.06,-4.88,0.00,0.00,-0.25,0.00,0.00,0.59
6124,-3.88,2.12,1.31,0.06,1.06,-4.88,0.00,0.02,-0.22,0.00,0.00,0.59
6133,-3.88,2.12,1.31,0.06,1.06,-4.56,0.02,0.00,-0.18,0.00,0.00,0.61
6225,-3.94,2.12,1.69,0.12,0.25,-3.19,0.03,0.06,-0.22,0.00,0.00,0.59
6235,-3.94,2.12,1.69,0.06,0.00,-3.19,0.05,0.04,-0.23,0.00,0.00,0.59
6243,-3.94,2.12,1.75,0.06,0.00,-3.19,0.04,0.03,-0.21,0.00,0.00,0.57
6254,-3.94,2.12,1.75,0.06,0.00,-2.94,0.04,0.03,-0.21,0.00,0.00,0.57
6263,-3.88,2.12,1.81,0.06,-0.06,-2.62,0.03,0.04,-0.22,0.00,0.00,0.60
6275,-3.88,2.12,1.81,0.12,-0.12,-2.44,0.00,0.02,-0.25,0.00,0.00,0.60
