5V,12V
5.18,33.38
5.18,33.37
5.18,33.38
5.18,33.38
5.18,33.37
5.18,33.37
5.18,33.38
5.18,33.37
5.18,33.38
5.18,33.38
5.18,33.37
5.18,33.37
5.18,33.37
5.18,33.29
5.18,33.04
5.18,32.25
5.18,30.50
5.18,30.11
5.20,29.96
5.19,29.81
5.19,29.71
5.18,29.62
5.18,29.51
5.18,29.44
5.20,29.39
5.20,29.32
5.18,29.27
5.19,29.24
5.20,29.15
5.18,29.17
5.18,29.16
5.20,29.11
5.18,29.13
5.18,29.08
5.18,29.06
5.19,29.02
5.18,29.04
5.19,28.99
5.18,28.97
5.18,28.97
5.18,28.93
5.19,28.92
5.18,28.92
5.18,28.92
5.19,28.91
5.19,28.84
5.18,28.82
5.18,28.79
5.18,28.82
5.18,28.79
5.18,28.79
5.20,28.79
5.18,28.80
5.18,28.81
5.19,28.75
5.18,28.70
5.20,28.70
5.18,28.71
5.18,28.70
5.18,28.64
5.18,28.66
5.19,28.59
5.19,28.59
5.19,28.65
5.18,28.58
5.23,28.61
5.19,28.58
5.19,28.52
5.19,28.56
5.18,28.54
5.18,28.53
5.20,28.51
5.18,28.51
5.18,28.48
5.18,28.45
5.19,28.46
5.19,28.40
5.18,28.42
5.19,28.41
5.19,28.42
5.19,28.42
5.19,28.39
5.19,28.39
5.19,28.34
5.19,28.34
5.18,28.37
5.19,28.37
5.21,28.33
5.18,28.38
5.18,28.32
5.24,28.31
5.22,28.28
5.18,28.31
5.18,28.27
5.20,28.27
5.18,28.25
5.21,28.27
5.20,28.22
5.19,28.25
5.19,28.26
5.21,28.24
5.19,28.16
5.17,28.21
5.19,28.17
5.18,28.20
5.19,28.16
5.20,28.13
5.22,28.20
5.19,28.13
5.19,28.08
5.18,28.09
5.21,28.11
5.20,28.11
5.19,28.10
5.18,28.11
5.18,28.09
5.18,28.07
5.18,28.05
5.18,28.00
5.18,28.03
5.18,27.97
5.18,27.98
5.18,28.01
5.18,28.00
5.18,28.00
5.18,27.98
5.18,28.00
5.18,28.00
5.18,27.97
5.18,27.96
5.18,27.93
5.17,27.96
5.18,27.92
5.18,27.91
5.18,27.97
5.20,30.03
5.19,30.18
5.19,30.28
5.19,30.36
5.18,30.42
5.19,30.48
5.19,30.52
5.19,30.56
5.19,30.59
5.18,30.62
5.19,30.65
5.19,30.67
5.19,30.69
5.19,30.71
5.18,30.73
5.19,30.75
5.19,30.76
5.19,30.77
5.19,30.78
5.19,30.79
5.19,30.80
5.19,30.81
5.18,30.81
5.18,30.82
5.19,30.84
