Time,sensPitch,sensRoll,sensYaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,alt,cP,cR,cYI
232250613,-9.56,7.62,2.62,6.06,2.94,2.69,-1.14,0.81,-0.64,2.50,5.60,1.08,0.00,0.00,-2.62
232260616,-9.50,7.56,2.62,6.56,5.50,2.62,-1.05,-0.20,-0.28,2.50,5.60,1.09,0.00,0.00,-2.62
232270620,-9.44,7.50,2.69,6.88,7.69,2.50,-1.52,1.25,-0.36,2.50,5.60,1.10,0.00,0.00,-2.69
232281018,-9.38,7.44,2.69,7.62,10.06,1.81,-0.83,0.18,-0.15,2.50,5.60,1.10,0.00,0.00,-2.69
232291020,-9.31,7.38,2.69,8.69,12.31,1.62,-0.78,0.31,-0.12,2.50,5.60,1.11,0.00,0.00,-2.69
232301333,-9.19,7.25,2.75,9.19,14.19,1.81,-1.11,0.95,-0.24,2.50,5.60,1.11,0.00,0.00,-2.75
232311337,-9.06,7.19,2.75,10.12,15.94,0.69,-0.61,0.07,-0.08,2.50,5.60,1.10,0.00,0.00,-2.75
232321920,-8.75,6.94,2.75,10.94,17.00,-1.44,-0.37,0.39,0.00,2.50,5.60,1.11,0.00,0.00,-2.75
232331924,-8.75,6.94,2.75,11.50,17.56,-3.44,-0.39,0.13,0.19,2.50,5.60,1.12,0.00,0.00,-2.75
232341928,-8.56,6.88,2.69,11.81,18.06,-5.00,0.01,-0.22,0.27,2.50,5.60,1.13,0.00,0.00,-2.69
232351931,-8.38,6.75,2.69,12.06,18.19,-6.31,0.63,-0.47,0.46,2.50,5.60,1.12,0.00,0.00,-2.69
232361935,-8.19,6.62,2.62,11.31,18.06,-7.06,0.29,-0.34,0.42,2.50,5.60,1.12,0.00,0.00,-2.62
232371937,-8.00,6.50,2.50,10.50,18.19,-6.81,0.62,0.08,0.31,2.50,5.60,1.13,0.00,0.00,-2.50
232382404,-7.81,6.44,2.44,10.25,18.38,-6.75,0.87,-0.08,0.32,2.50,5.60,1.14,0.00,0.00,-2.44
232392407,-7.62,6.31,2.38,9.56,18.12,-6.75,0.35,-0.04,0.24,2.50,5.60,1.15,0.00,0.00,-2.38
232403239,-7.31,6.19,2.31,8.56,17.94,-6.19,0.89,0.12,0.19,2.50,5.60,1.15,0.00,0.00,-2.31
232413242,-7.12,6.12,2.25,7.94,18.19,-4.50,1.07,-0.37,0.34,2.50,5.60,1.20,0.00,0.00,-2.25
232423248,-6.94,6.06,2.25,7.06,18.06,-2.44,0.74,0.00,0.38,2.50,5.60,1.20,0.00,0.00,-2.25
232433252,-6.75,6.00,2.25,6.31,17.75,-0.56,1.01,0.42,0.55,2.50,5.60,1.20,0.00,0.00,-2.25
232443254,-6.56,5.94,2.25,6.00,17.81,1.25,0.89,0.24,0.58,2.50,5.60,1.21,0.00,0.00,-2.25
232453257,-6.44,5.88,2.25,5.62,17.12,2.56,0.18,0.33,0.61,2.50,5.60,1.21,0.00,0.00,-2.25
232463260,-6.25,5.81,2.31,5.12,16.62,1.75,-0.07,0.36,0.54,2.50,5.60,1.21,0.00,0.00,-2.31
232473265,-6.12,5.75,2.31,4.75,16.19,-0.62,0.95,0.19,0.43,2.50,5.60,1.22,0.00,0.00,-2.31
232483268,-5.94,5.69,2.25,4.44,15.44,-3.38,0.08,0.04,0.37,2.50,5.60,1.23,0.00,0.00,-2.25
232493271,-5.81,5.69,2.19,4.19,14.38,-6.31,0.21,0.05,0.27,2.50,5.60,1.23,0.00,0.00,-2.19
232503274,-5.69,5.62,2.12,3.50,14.00,-8.81,1.01,0.12,0.13,2.50,5.60,1.24,0.00,0.00,-2.12
232513278,-5.56,5.62,2.06,3.12,13.06,-9.56,0.30,0.82,0.04,2.50,5.60,1.27,0.00,0.00,-2.06
232523281,-5.38,5.62,1.94,2.56,12.38,-9.25,-0.34,0.85,-0.11,2.50,5.60,1.28,0.00,0.00,-1.94
232533294,-5.38,5.62,1.94,2.81,12.12,-8.88,0.34,0.55,-0.12,2.50,5.60,1.29,0.00,0.00,-1.94
232543296,-5.12,5.56,1.81,2.81,12.12,-8.88,0.43,0.31,-0.29,2.50,5.60,1.29,0.00,0.00,-1.81
232553299,-5.00,5.50,1.75,3.75,11.88,-7.69,0.19,0.55,-0.50,2.50,5.60,1.29,0.00,0.00,-1.75
232563302,-4.94,5.50,1.69,4.19,11.88,-7.56,0.37,0.51,-0.60,2.50,5.60,1.29,0.00,0.00,-1.69
232573304,-4.81,5.44,1.62,4.88,11.31,-6.81,1.17,0.62,-0.63,2.50,5.60,1.31,0.00,0.00,-1.62
232583307,-4.81,5.44,1.62,5.94,10.94,-5.88,0.50,0.81,-1.00,2.50,5.60,1.31,0.00,0.00,-1.62
232593309,-4.69,5.38,1.56,7.06,10.88,-5.25,0.13,0.42,-0.92,2.50,5.60,1.32,0.00,0.00,-1.56
232603312,-4.44,5.25,1.44,7.88,10.50,-4.56,0.22,0.83,-1.02,2.50,5.60,1.33,0.00,0.00,-1.44
232613315,-4.38,5.19,1.44,9.44,10.12,-4.06,0.10,1.17,-1.11,2.50,5.60,1.31,0.00,0.00,-1.44
232623318,-4.25,5.06,1.38,11.50,9.81,-3.88,-0.08,0.56,-1.12,2.50,5.60,1.32,0.00,0.00,-1.38
232633322,-4.25,5.06,1.38,12.88,9.81,-3.88,-0.31,0.64,-1.28,2.50,5.60,1.33,0.00,0.00,-1.38
232643325,-4.19,4.94,1.31,14.25,9.94,-4.00,0.02,0.67,-1.41,2.50,5.60,1.34,0.00,0.00,-1.31
232653852,-4.00,4.62,1.25,15.81,9.69,-4.00,0.27,0.50,-1.41,2.50,5.60,1.35,0.00,0.00,-1.25
232663857,-3.88,4.50,1.19,16.75,9.38,-4.31,0.13,0.79,-1.71,2.50,5.60,1.35,0.00,0.00,-1.19
232674102,-3.81,4.31,1.19,18.06,9.31,-4.94,0.34,0.70,-1.73,2.50,5.60,1.35,0.00,0.00,-1.19
232684106,-3.81,4.31,1.19,19.12,8.75,-5.06,0.46,0.29,-1.63,2.50,5.60,1.35,0.00,0.00,-1.19
232695500,-3.62,3.94,1.06,19.94,8.00,-5.00,0.16,0.31,-1.52,2.50,5.60,1.36,0.00,0.00,-1.06
232705503,-3.56,3.75,1.00,20.69,7.38,-4.94,0.41,0.40,-1.52,2.50,5.60,1.35,0.00,0.00,-1.00
232717370,-3.50,3.56,0.94,21.62,6.50,-5.00,0.58,-0.03,-1.50,2.50,5.60,1.36,0.00,0.00,-0.94
232727825,-3.44,3.31,0.88,21.81,5.56,-5.75,0.43,-0.19,-1.55,2.50,5.60,1.37,0.00,0.00,-0.88
232737828,-3.38,3.12,0.81,21.38,4.62,-8.06,0.71,-0.47,-1.65,2.50,5.60,1.38,0.00,0.00,-0.81
232747832,-3.31,2.94,0.69,20.38,2.88,-10.00,1.00,-1.12,-1.57,2.50,5.60,1.38,0.00,0.00,-0.69
232758671,-3.31,2.75,0.56,18.94,1.38,-11.69,0.77,-1.28,-1.51,2.50,5.60,1.39,0.00,0.00,-0.56
