Time,Pitch,Roll,Yaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,alt,xSpeed,ySpeed,zSpeed,cP,cR,cY,cP
61684482.000000,-3.250000,4.500000,0.062500,0.000000,-0.187500,-0.125000,0.000000,-0.030000,-0.160000,0.000000,0.000000,0.510000,-10000.000000,-10000.000000,0.000000,3.250000,0.000000,0.000000,0.000000
61694485.000000,-3.250000,4.500000,0.062500,0.000000,-0.125000,0.062500,0.020000,-0.020000,-0.150000,0.000000,0.000000,0.520000,-10000.000000,-10000.000000,0.000000,3.250000,0.000000,-0.000000,0.000000
61704489.000000,-3.250000,4.500000,0.062500,0.062500,-0.250000,0.000000,0.020000,-0.030000,-0.180000,0.000000,0.000000,0.550000,-10000.000000,-10000.000000,0.149905,3.187500,0.000000,0.000000,0.000000
61714492.000000,-3.250000,4.500000,0.062500,-0.062500,-0.125000,-0.062500,0.030000,-0.020000,-0.180000,0.000000,0.000000,0.520000,-10000.000000,-10000.000000,-0.000086,3.312500,0.000000,0.000000,0.000000
61724495.000000,-3.250000,4.500000,0.062500,0.000000,-0.062500,-0.125000,0.000000,-0.020000,-0.170000,0.000000,0.000000,0.520000,-10000.000000,-10000.000000,-0.000072,3.250000,0.000000,0.000000,0.000000
61734498.000000,-3.250000,4.500000,0.062500,0.000000,0.062500,0.062500,0.030000,-0.050000,-0.190000,0.000000,0.000000,0.510000,-10000.000000,-10000.000000,-0.050142,3.250000,-0.000000,-0.000000,0.000000
61744501.000000,-3.250000,4.500000,0.062500,0.062500,0.062500,0.000000,0.000000,-0.020000,-0.180000,0.000000,0.000000,0.530000,-10000.000000,-10000.000000,0.049792,3.187500,-0.000000,0.000000,0.000000
61754504.000000,-3.250000,4.500000,0.062500,0.062500,-0.000000,0.000000,-0.010000,-0.020000,-0.170000,0.000000,0.000000,0.500000,-10000.000000,-10000.000000,-0.100148,3.187500,0.000000,0.000000,0.000000
61765948.000000,-3.250000,4.500000,0.062500,0.000000,-0.062500,-0.062500,-0.010000,-0.000000,-0.180000,0.000000,0.000000,0.490000,-10000.000000,-10000.000000,-0.143880,3.250000,0.000000,0.000000,0.000000
61775989.000000,-3.250000,4.500000,0.062500,0.062500,0.187500,0.125000,0.050000,-0.060000,-0.210000,0.000000,0.000000,0.490000,-10000.000000,-10000.000000,-0.144066,3.187500,-0.000000,-0.000000,0.000000
61788080.000000,-3.250000,4.500000,0.062500,0.000000,-0.000000,0.000000,0.020000,-0.000000,-0.180000,0.000000,0.000000,0.490000,-10000.000000,-10000.000000,-0.144109,3.250000,0.000000,0.000000,0.000000
61798083.000000,-3.250000,4.500000,0.062500,0.125000,-0.062500,0.125000,0.020000,-0.000000,-0.180000,0.000000,0.000000,0.480000,-10000.000000,-10000.000000,-0.194129,3.125000,0.000000,-0.000000,0.000000
61808788.000000,-3.250000,4.500000,0.062500,-0.125000,-0.000000,0.062500,0.020000,-0.030000,-0.170000,0.000000,0.000000,0.480000,-10000.000000,-10000.000000,-0.344054,3.375000,0.000000,-0.000000,0.000000
61818793.000000,-3.250000,4.500000,0.062500,0.000000,-0.062500,0.000000,0.000000,-0.020000,-0.180000,0.000000,0.000000,0.480000,-10000.000000,-10000.000000,-0.194134,3.250000,0.000000,0.000000,0.000000
61829781.000000,-3.250000,4.500000,0.062500,0.125000,0.125000,-0.062500,0.000000,-0.000000,-0.190000,0.000000,0.000000,0.500000,-10000.000000,-10000.000000,-0.103220,3.125000,-0.000000,0.000000,0.000000
61839793.000000,-3.250000,4.500000,0.062500,0.062500,0.062500,0.000000,0.020000,-0.020000,-0.190000,0.000000,0.000000,0.490000,-10000.000000,-10000.000000,-0.103261,3.187500,-0.000000,0.000000,0.000000
61850706.000000,-3.250000,4.500000,0.062500,0.000000,-0.000000,0.000000,0.050000,-0.020000,-0.140000,0.000000,0.000000,0.480000,-10000.000000,-10000.000000,-0.248868,3.250000,0.000000,0.000000,0.000000
61860709.000000,-3.250000,4.500000,0.062500,-0.062500,-0.000000,-0.062500,0.020000,-0.010000,-0.190000,0.000000,0.000000,0.510000,-10000.000000,-10000.000000,0.050956,3.312500,0.000000,0.000000,0.000000
61870713.000000,-3.250000,4.500000,0.062500,0.000000,-0.062500,0.062500,-0.020000,-0.000000,-0.190000,0.000000,0.000000,0.490000,-10000.000000,-10000.000000,-0.005398,3.250000,0.000000,-0.000000,0.000000
61880718.000000,-3.250000,4.500000,0.062500,0.000000,-0.062500,-0.062500,0.040000,-0.000000,-0.170000,0.000000,0.000000,0.490000,-10000.000000,-10000.000000,-0.005384,3.250000,0.000000,0.000000,0.000000
61890889.000000,-3.250000,4.500000,0.062500,0.062500,-0.000000,-0.062500,0.040000,-0.030000,-0.190000,0.000000,0.000000,0.490000,-10000.000000,-10000.000000,-0.005471,3.187500,0.000000,0.000000,0.000000
61900893.000000,-3.250000,4.500000,0.062500,0.000000,0.250000,0.000000,-0.020000,-0.020000,-0.170000,0.000000,0.000000,0.490000,-10000.000000,-10000.000000,0.044529,3.250000,-0.000000,0.000000,0.000000
61910896.000000,-3.250000,4.500000,0.062500,-0.062500,-0.062500,0.000000,0.000000,-0.000000,-0.160000,0.000000,0.000000,0.470000,-10000.000000,-10000.000000,-0.055377,3.312500,0.000000,0.000000,0.000000
61920901.000000,-3.250000,4.500000,0.062500,0.125000,0.062500,0.000000,0.030000,-0.010000,-0.200000,0.000000,0.000000,0.510000,-10000.000000,-10000.000000,0.144388,3.125000,-0.000000,0.000000,0.000000
61930905.000000,-3.250000,4.500000,0.062500,0.125000,-0.062500,0.000000,0.000000,-0.030000,-0.180000,0.000000,0.000000,0.490000,-10000.000000,-10000.000000,-0.046616,3.125000,0.000000,0.000000,0.000000
61940909.000000,-3.250000,4.500000,0.062500,-0.125000,0.125000,0.062500,0.000000,-0.020000,-0.180000,0.000000,0.000000,0.480000,-10000.000000,-10000.000000,-0.046691,3.375000,-0.000000,-0.000000,0.000000
61950912.000000,-3.250000,4.500000,0.062500,0.000000,0.062500,0.000000,0.020000,-0.000000,-0.210000,0.000000,0.000000,0.490000,-10000.000000,-10000.000000,0.048925,3.250000,-0.000000,0.000000,0.000000
61960916.000000,-3.250000,4.500000,0.062500,0.000000,-0.000000,0.125000,0.010000,-0.040000,-0.200000,0.000000,0.000000,0.480000,-10000.000000,-10000.000000,-0.151146,3.250000,0.000000,-0.000000,0.000000
61970920.000000,-3.250000,4.500000,0.062500,0.000000,-0.062500,-0.062500,0.020000,-0.000000,-0.200000,0.000000,0.000000,0.500000,-10000.000000,-10000.000000,0.048639,3.250000,0.000000,0.000000,0.000000
61980923.000000,-3.250000,4.500000,0.062500,-0.125000,-0.125000,0.000000,0.030000,-0.000000,-0.180000,0.000000,0.000000,0.490000,-10000.000000,-10000.000000,-0.001382,3.375000,0.000000,0.000000,0.000000
