Time,sensPitch,sensRoll,sensYaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,altitude
5993,-83.56,-179.12,-3.06,6.06,-1.00,0.81,0.08,-0.09,0.07,0.00,0.00,1.79
6004,-83.56,-179.12,-2.94,6.31,-0.94,0.94,0.10,-0.08,0.05,0.00,0.00,1.86
6015,-83.56,-179.12,-2.88,6.25,-1.06,0.94,0.11,-0.07,0.08,0.00,0.00,1.76
6028,-83.56,-179.12,-2.81,6.19,-1.00,0.88,0.11,-0.08,0.06,0.00,0.00,1.80
6042,-83.62,-179.12,-2.75,6.12,-1.19,0.88,0.10,-0.08,0.04,0.00,0.00,1.82
6054,-83.62,-179.12,-2.69,6.00,-1.19,0.81,0.10,-0.04,0.06,0.00,0.00,1.70
6065,-83.62,-179.12,-2.56,6.12,-1.31,0.88,0.09,-0.03,0.07,0.00,0.00,1.69
6076,-83.62,-179.12,-2.50,6.19,-1.19,0.88,0.09,-0.05,0.05,0.00,0.00,1.71
6089,-83.62,-179.12,-2.44,6.00,-1.38,0.88,0.10,-0.03,0.04,0.00,0.00,1.61
6103,-83.69,-179.12,-2.38,6.12,-1.31,0.81,0.12,-0.03,0.06,0.00,0.00,1.54
6114,-83.69,-179.12,-2.31,6.06,-1.19,0.75,0.11,-0.02,0.03,0.00,0.00,1.54
6125,-83.69,-179.12,-2.19,6.12,-1.25,0.94,0.09,0.00,0.05,0.00,0.00,1.43
6137,-83.69,-179.12,-2.12,6.00,-1.44,0.88,0.11,0.00,0.01,0.00,0.00,1.32
6827,-84.81,-178.88,0.25,1.31,-0.75,0.00,0.18,0.12,-0.10,0.00,0.00,0.57
6840,-84.81,-178.88,0.31,1.12,-0.56,-0.06,0.17,0.12,-0.11,0.00,0.00,0.56
6849,-84.81,-178.88,0.31,1.19,-0.50,-0.19,0.18,0.12,-0.12,0.00,0.00,0.57
6862,-84.81,-178.88,0.31,0.88,-0.38,-0.06,0.18,0.11,-0.15,0.00,0.00,0.56
6872,-84.81,-178.88,0.31,0.94,-0.56,0.00,0.18,0.13,-0.13,0.00,0.00,0.50
6886,-84.81,-178.88,0.31,0.81,-0.62,0.00,0.19,0.12,-0.11,0.00,0.00,0.63
6897,-84.81,-178.88,0.38,0.62,-0.44,-0.25,0.18,0.12,-0.12,0.00,0.00,0.56
6911,-84.81,-178.88,0.38,0.31,-0.25,-0.19,0.19,0.10,-0.13,0.00,0.00,0.60
6920,-84.81,-178.88,0.38,0.44,-0.50,-0.12,0.18,0.12,-0.13,0.00,0.00,0.59
6934,-84.81,-178.88,0.38,0.19,-0.25,-0.19,0.19,0.11,-0.12,0.00,0.00,0.61
6947,-84.81,-178.88,0.38,0.19,-0.38,-0.25,0.19,0.10,-0.13,0.00,0.00,0.57
6958,-84.81,-178.88,0.38,0.06,0.19,-0.25,0.23,0.11,-0.12,0.00,0.00,0.49
