Time,sensPitch,sensRoll,sensYaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,altitude
6033,-0.94,2.62,-0.06,-0.19,0.25,-0.06,0.01,0.04,-0.25,0.00,0.00,0.56
6042,-0.94,2.62,-0.06,-0.19,0.25,-0.06,0.01,0.02,-0.26,0.00,0.00,0.54
6051,-0.94,2.62,-0.06,-0.06,0.06,-0.06,0.00,0.01,-0.21,0.00,0.00,0.54
6061,-0.94,2.62,-0.06,-0.06,-0.06,0.00,0.00,0.03,-0.24,0.00,0.00,0.55
6071,-0.94,2.62,-0.06,-0.06,-0.06,0.06,0.00,0.03,-0.24,0.00,0.00,0.53
6081,-0.94,2.62,-0.06,-0.12,0.19,0.00,0.01,0.03,-0.24,0.00,0.00,0.56
6091,-0.94,2.62,-0.06,0.06,0.25,0.00,0.02,0.03,-0.25,0.00,0.00,0.55
6101,-0.94,2.62,-0.06,0.06,0.12,-0.12,0.00,0.05,-0.23,0.00,0.00,0.54
6111,-0.94,2.62,-0.06,0.00,-0.06,0.06,0.00,0.03,-0.26,0.00,0.00,0.54
6121,-0.94,2.62,-0.06,-0.12,0.06,0.12,0.00,0.03,-0.27,0.00,0.00,0.53
6131,-0.94,2.62,-0.06,0.00,-0.19,0.00,0.00,0.01,-0.24,0.00,0.00,0.53
6140,-0.94,2.62,-0.06,-0.19,-0.12,0.06,0.00,0.01,-0.24,0.00,0.00,0.53
6150,-0.94,2.62,-0.06,-0.06,-0.19,0.00,0.00,0.03,-0.25,0.00,0.00,0.53
6163,-0.94,2.62,-0.06,-0.12,-0.12,0.12,0.01,0.00,-0.24,0.00,0.00,0.51
6909,-0.94,2.62,-0.06,-0.12,-0.25,-0.06,0.00,0.01,-0.24,0.00,0.00,0.53
6920,-0.94,2.62,-0.06,-0.06,-0.38,0.00,0.01,0.02,-0.25,0.00,0.00,0.52
6929,-0.94,2.62,-0.06,0.00,0.25,0.00,0.01,0.03,-0.22,0.00,0.00,0.53
6938,-0.94,2.62,-0.06,0.00,0.25,0.00,0.01,0.03,-0.22,0.00,0.00,0.53
6948,-0.94,2.62,-0.06,-0.12,-0.19,0.06,0.00,0.00,-0.23,0.00,0.00,0.53
6958,-0.94,2.62,-0.06,-0.06,-0.06,0.06,0.01,0.04,-0.25,0.00,0.00,0.53
6970,-0.94,2.62,-0.06,0.00,-0.19,0.06,0.01,0.02,-0.21,0.00,0.00,0.52
6979,-0.94,2.62,-0.06,0.00,0.00,0.00,0.00,0.03,-0.26,0.00,0.00,0.52
6990,-0.94,2.62,-0.06,0.00,0.00,0.00,0.00,0.01,-0.22,0.00,0.00,0.53
6999,-0.94,2.62,-0.06,-0.06,-0.25,0.06,0.00,0.01,-0.25,0.00,0.00,0.51
7011,-0.94,2.62,-0.06,-0.06,-0.25,0.06,0.00,0.03,-0.26,0.00,0.00,0.52
7019,-0.94,2.62,-0.06,-0.06,-0.12,-0.19,0.00,0.02,-0.28,0.00,0.00,0.53
7031,-0.94,2.62,-0.06,-0.06,-0.12,-0.19,0.00,0.03,-0.23,0.00,0.00,0.53
7039,-0.94,2.62,-0.06,0.06,0.00,0.12,0.00,0.00,-0.23,0.00,0.00,0.53
7072,-0.94,2.62,-0.06,0.12,0.00,0.06,-0.01,0.01,-0.24,0.00,0.00,0.53
7080,-0.94,2.62,-0.06,0.06,0.00,-0.06,0.00,0.01,-0.24,0.00,0.00,0.54
7090,-0.94,2.62,-0.06,0.06,0.00,-0.06,0.01,0.01,-0.24,0.00,0.00,0.53
7099,-0.94,2.62,-0.06,0.12,0.00,0.06,0.00,0.01,-0.25,0.00,0.00,0.54
7108,-0.94,2.62,-0.06,0.12,0.00,0.06,0.00,0.01,-0.23,0.00,0.00,0.55
7118,-0.94,2.62,-0.06,0.00,0.06,-0.12,0.00,0.01,-0.23,0.00,0.00,0.53
7128,-0.94,2.62,-0.06,0.12,0.06,0.00,0.00,0.05,-0.23,0.00,0.00,0.54
7137,-0.94,2.62,-0.06,-0.12,-0.25,0.06,0.01,0.02,-0.24,0.00,0.00,0.54
7147,-0.94,2.62,-0.06,-0.06,-0.12,0.00,-0.01,0.03,-0.22,0.00,0.00,0.54
7157,-0.94,2.62,-0.06,0.06,0.06,0.12,0.00,0.02,-0.26,0.00,0.00,0.54
7168,-0.94,2.62,-0.06,-0.06,-0.19,0.12,0.00,0.04,-0.27,0.00,0.00,0.53
7178,-0.94,2.62,-0.06,0.06,0.19,-0.06,0.00,0.04,-0.24,0.00,0.00,0.52
7191,-0.94,2.62,-0.06,-0.06,0.00,0.12,0.00,0.04,-0.24,0.00,0.00,0.52
7199,-0.94,2.62,-0.06,-0.06,0.12,0.00,0.00,0.04,-0.24,0.00,0.00,0.53
7208,-0.94,2.62,-0.06,-0.06,0.12,0.00,0.00,0.02,-0.24,0.00,0.00,0.53
7239,-0.94,2.62,-0.06,0.19,0.06,0.00,0.00,0.01,-0.21,0.00,0.00,0.53
7248,-0.94,2.62,-0.06,0.25,0.06,-0.06,0.00,0.04,-0.23,0.00,0.00,0.53
7260,-0.94,2.62,-0.06,0.25,0.06,-0.06,0.00,0.01,-0.26,0.00,0.00,0.52
7268,-0.94,2.62,-0.06,0.00,-0.12,0.06,0.00,0.01,-0.22,0.00,0.00,0.53
7281,-0.94,2.62,-0.06,0.00,-0.12,0.06,0.02,0.02,-0.23,0.00,0.00,0.54
7289,-0.94,2.62,-0.06,0.00,0.06,0.06,-0.01,0.05,-0.23,0.00,0.00,0.53
7301,-0.94,2.62,-0.06,0.00,0.06,0.06,0.00,0.00,-0.22,0.00,0.00,0.52
