Time,sensPitch,sensRoll,sensYaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,altitude
6035,-0.75,2.38,0.00,0.19,0.06,-0.06,0.02,0.00,-0.23,0.00,0.00,0.52
6044,-0.75,2.38,0.00,-0.25,-0.06,0.00,0.04,-0.10,-0.30,0.00,0.00,0.53
6053,-0.75,2.38,0.00,-0.25,-0.06,0.00,0.01,-0.12,-0.30,0.00,0.00,0.52
6063,-0.75,2.38,0.00,-0.12,-0.12,0.19,0.00,-0.06,-0.27,0.00,0.00,0.53
6075,-0.75,2.38,0.00,0.12,-0.06,-0.12,0.00,-0.06,-0.27,0.00,0.00,0.53
6084,-0.75,2.38,0.00,0.19,-0.19,0.06,-0.04,0.12,-0.21,0.00,0.00,0.52
6095,-0.75,2.38,0.00,0.19,-0.19,0.06,-0.03,0.09,-0.22,0.00,0.00,0.54
6104,-0.75,2.38,0.00,-0.31,-0.44,0.00,0.00,0.01,-0.26,0.00,0.00,0.50
6114,-0.75,2.38,0.00,-0.31,-0.44,0.00,0.01,-0.11,-0.27,0.00,0.00,0.53
6123,-0.75,2.38,0.00,0.00,-0.19,0.06,0.02,-0.10,-0.24,0.00,0.00,0.52
6136,-0.75,2.38,0.00,0.00,-0.19,0.06,0.04,-0.02,-0.23,0.00,0.00,0.52
6144,-0.75,2.38,0.00,0.06,0.06,0.06,0.03,0.05,-0.23,0.00,0.00,0.51
6157,-0.75,2.38,0.00,0.06,0.06,0.06,0.00,0.10,-0.20,0.00,0.00,0.51
6169,-0.75,2.38,0.00,0.06,0.00,0.06,0.00,0.05,-0.22,0.00,0.00,0.53
6915,-0.81,2.38,0.00,-1.56,0.19,0.12,0.18,-0.90,-0.47,0.00,0.00,0.53
6924,-0.81,2.38,0.00,0.88,0.88,0.06,0.81,-1.19,-0.56,0.00,0.00,0.51
6935,-0.81,2.38,0.00,0.88,0.88,0.06,0.05,0.25,-0.22,0.00,0.00,0.54
6946,-0.81,2.38,0.00,2.38,1.62,0.00,-0.74,1.71,0.14,0.00,0.00,0.53
6960,-0.81,2.38,0.00,-1.19,0.56,-0.06,-0.85,2.14,0.34,0.00,0.00,0.54
6968,-0.81,2.38,0.00,-3.38,-0.06,-0.06,0.23,-1.66,-0.66,0.00,0.00,0.52
